OGLE-2013-BLG-0132L b,Confirmed,0.29,0.13,0.16,,,,,,,,,,3.6,1.2,1.4,,,,,,,,2017,04/07/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2013-BLG-0132L,269.764625,-28.42102779,,,,,,3900,1300,1500,,,,0.54,0.23,0.3,,,,,,,,,,,,,MOA-2013-BLG-148 
OGLE-2013-BLG-0341L b,Confirmed,0.005222918,0.00056634,0.00056634,,,,,,,,,,0.702,0.022,0.022,,,,,,,,2014,04/07/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2013-BLG-0341L,268.0291667,-29.84611114,,,,,,911,70,70,,,,0.1127,0.0089,0.0089,,,,,,,,,,,,,
OGLE-2013-BLG-1721 b,Confirmed,0.64,0.31,0.35,,,,,,,,,,2.6,0.7,0.5,,,,,,,,2017,04/07/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,MOA-2013-BLG-618,,OGL-2013-BLG-1721L,268.1265417,-30.29269446,,,,,,6300,1600,1100,,,,0.46,0.23,0.26,,,,,,,,,,,,,MOA-2013-BLG-618
OGLE-2013-BLG-1761L b,Confirmed,2.8,1.5,2.5,,,,,,,,,,1.8,0.5,0.5,,,,,,,,2017,23/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2013-BLG-1761L,268.4083333,-28.89527781,17.3,,,,,6900,1200,1000,,,,0.33,0.18,0.32,,,,M/K,,,,,,,,,
OGLE-2014-BLG-0124L b,Confirmed,0.64,0.044,0.044,,,,,,,,,,3.48,0.22,0.22,,,,,,,,2014,05/09/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2014-BLG-0124L,270.6208333,-28.39638891,,,,,,3600,300,300,,,,0.89,0.05,0.05,,,,,,,,,,,,,
OGLE-2014-BLG-0257L b,Confirmed,36,5,5,,,,,,,,,,0.61,0.07,0.07,,,,,,,,2016,17/03/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2014-BLG-0257L,270.45,-28.26194446,,,,,,1250,130,130,,,,0.19,0.02,0.02,,,,M,,,,,,,,,
OGLE-2014-BLG-0676L b,Confirmed,3.09,1.12,1.02,,,,,,,,,,4.4,1.46,2.16,,,,,,,,2016,28/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2014-BLG-0676L,268.1041667,-30.54833336,,,,,,2220,830,960,,,,0.62,0.22,0.2,,,,,,,,,,,,,
OGLE-2014-BLG-1722 b,Confirmed,0.174,0.104,0.16,,,,,,,,,,1.9,0.8,1.3,,,,,,,,2018,15/03/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2014-BLG-1722,268.7541667,-31.46916668,,,,,,6400,130,190,,,,0.4,0.24,0.36,,,,,,,,,,,,,
OGLE-2014-BLG-1722 c,Confirmed,0.2633,0.16,0.271,,,,,,,,,,2.5,1.1,2.2,,,,,,,,2018,15/03/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2014-BLG-1722,268.7541667,-31.46916668,,,,,,6400,130,190,,,,0.4,0.24,0.36,,,,,,,,,,,,,
OGLE-2014:BLG-1760L b,Confirmed,0.573,0.26,0.431,,,,,,,,,,1.75,0.34,0.34,,,,,,,,2016,21/03/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2014:BLG-1760L,269.4083333,-28.96305559,,,,,,6060,1110,1110,,,,0.51,0.28,0.44,,,,,,,,,,,,,
